id,no_kendaraan,jenis_kendaraan,gedung,hari,masuk,keluar,jam,menit,selisih
,H 4247 AP,MOTOR,balairung_a,pertama,13:32,15:01,60,29,89
,K 2884 K,MOTOR,balairung_a,pertama,13:37,15:00,60,23,83
,H 4427 AMR ,MOTOR,balairung_a,pertama,13:44,14:32,0,48,48
,H 3868 GJ,MOTOR,balairung_a,pertama,13:44,15:32,60,48,108
,K 3823 RM,MOTOR,balairung_a,pertama,13:44,16:32,120,48,168
,G 4261 CHO,MOTOR,balairung_a,pertama,13:48,14:52,60,4,64
,H 3583 ASF,MOTOR,balairung_a,pertama,13:54,14:53,0,59,59
,K 4599 YJ,MOTOR,balairung_a,pertama,13:55,14:57,60,2,62
,K 2664 UZ,MOTOR,balairung_a,pertama,14:15,14:30,0,15,15
,H 5475 VI,MOTOR,balairung_a,pertama,14:17,14:45,0,28,28
,G 2431 MR,MOTOR,balairung_a,pertama,14:21,14:31,0,10,10
,H 4427 AMR ,MOTOR,balairung_a,pertama,14:26,14:40,0,14,14
,H 5502 CI,MOTOR,balairung_a,pertama,14:33,14:57,0,24,24
,G 4707 PV,MOTOR,balairung_a,pertama,14:33,15:00,0,27,27
,H 2048 DA,MOTOR,balairung_a,pertama,14:45,15:00,0,15,15
,H 4637 LJ,MOTOR,balairung_a,pertama,14:47,15:00,0,13,13
,G 2336 MI,MOTOR,balairung_a,pertama,14:52,14:55,0,3,3
,H 5970 AF,MOTOR,balairung_a,pertama,14:58,15:55,0,57,57
