id,no_kendaraan,jenis_kendaraan,gedung,hari,masuk,keluar,jam,menit,selisih
,H 5376 PNG,MOTOR,d,pertama,12:44,13:34,0,50,50
,H 5405 CU,MOTOR,d,pertama,12:44,13:34,0,50,50
,G 6335 CM,MOTOR,d,pertama,12:44,13:50,60,6,66
,K 5771 UD,MOTOR,d,pertama,12:44,14:50,120,6,126
,H 3610 ,MOTOR,d,pertama,12:44,13:50,60,6,66
,3655 PY,MOTOR,d,pertama,12:45,13:44,0,59,59
,R 3490 UZ,MOTOR,d,pertama,12:45,13:44,0,59,59
,H 5658 BIC,MOTOR,d,pertama,12:46,13:44,0,58,58
,K 3684 ARC,MOTOR,d,pertama,12:46,13:44,0,58,58
,K 6538 ADF,MOTOR,d,pertama,12:46,13:32,0,46,46
,H 3905 P,MOTOR,d,pertama,12:46,13:32,0,46,46
,H 3912 CJ,MOTOR,d,pertama,12:46,14:29,60,43,103
,K 5983 UU,MOTOR,d,pertama,12:46,13:32,0,46,46
,H 5838 SI,MOTOR,d,pertama,12:47,13:32,0,45,45
,H 2761 AFD,MOTOR,d,pertama,12:48,12:54,0,6,6
,H 2613 VR,MOTOR,d,pertama,12:48,13:32,0,44,44
,B 6765 KYY,MOTOR,d,pertama,12:50,14:12,60,22,82
,H 3633 YR,MOTOR,d,pertama,12:50,13:32,0,42,42
,K 3631 EM,MOTOR,d,pertama,12:50,14:45,60,55,115
,H 2993 ANE,MOTOR,d,pertama,12:50,13:00,0,10,10
,D 6322 FWR,MOTOR,d,pertama,12:50,14:00,60,10,70
,G 5258 QJ,MOTOR,d,pertama,12:50,15:00,120,10,130
,H 5114 SJ,MOTOR,d,pertama,12:50,13:01,0,11,11
,H 4607 AVD,MOTOR,d,pertama,12:50,13:01,0,11,11
,H 4550 EN,MOTOR,d,pertama,12:50,13:27,0,37,37
,K 5850 BU,MOTOR,d,pertama,12:50,13:27,0,37,37
,K 3532 EU,MOTOR,d,pertama,12:51,13:09,0,18,18
,AA 3842 MN,MOTOR,d,pertama,12:51,14:20,60,29,89
,H 3027 AGD,MOTOR,d,pertama,12:51,14:12,60,21,81
,K 3720 CU,MOTOR,d,pertama,12:51,13:23,0,32,32
,K 2728 QQ,MOTOR,d,pertama,12:51,13:44,0,53,53
,G 4392 RI,MOTOR,d,pertama,12:51,13:21,0,30,30
,H 3609 AED,MOTOR,d,pertama,12:51,13:20,0,29,29
,K 3918 VH,MOTOR,d,pertama,12:51,14:14,60,23,83
,K 4088 ZT,MOTOR,d,pertama,12:52,13:30,0,38,38
,K 3392 AWG,MOTOR,d,pertama,12:52,13:30,0,38,38
,H 3722 HI,MOTOR,d,pertama,12:52,13:39,0,47,47
,K 6707 SQ,MOTOR,d,pertama,12:52,13:32,0,40,40
,K 5779 JJ,MOTOR,d,pertama,12:52,14:21,60,29,89
,H 2501 AWQ,MOTOR,d,pertama,12:52,14:13,60,21,81
,B 3126 BRG,MOTOR,d,pertama,12:52,14:12,60,20,80
,K 3817 GC,MOTOR,d,pertama,12:53,14:18,60,25,85
,K 6044 AHC,MOTOR,d,pertama,12:53,14:28,60,35,95
,H 6637 BS,MOTOR,d,pertama,12:53,13:10,0,17,17
,K 4506 AEE,MOTOR,d,pertama,12:53,13:44,0,51,51
,K 6138 ADI,MOTOR,d,pertama,12:54,13:10,0,16,16
,H 3418 FA,MOTOR,d,pertama,12:54,14:10,60,16,76
,H 6817 LM,MOTOR,d,pertama,12:54,15:10,120,16,136
,H 3450 PI,MOTOR,d,pertama,12:54,16:10,180,16,196
,G 5859 VT,MOTOR,d,pertama,12:54,17:10,240,16,256
,K 3670 LU,MOTOR,d,pertama,12:55,14:12,60,17,77
,K 6140 ZU,MOTOR,d,pertama,12:55,14:43,60,48,108
,K 6481 HP,MOTOR,d,pertama,12:55,14:45,60,50,110
,K 5026 AW,MOTOR,d,pertama,12:55,15:45,120,50,170
,H 5631 AGC,MOTOR,d,pertama,12:56,16:45,180,49,229
,K 3016 RZ,MOTOR,d,pertama,12:56,17:45,240,49,289
,H 4103 TR,MOTOR,d,pertama,12:56,18:45,300,49,349
,H 3025 QQ,MOTOR,d,pertama,12:56,19:45,360,49,409
,G 3422 JH,MOTOR,d,pertama,12:58,20:45,420,47,467
,G 6217 ID,MOTOR,d,pertama,12:58,13:24,0,26,26
,H 3806 BU,MOTOR,d,pertama,12:58,14:24,60,26,86
,G 4593 HW,MOTOR,d,pertama,12:59,13:55,0,56,56
,R 3811 YM,MOTOR,d,pertama,12:59,14:55,60,56,116
,H 3306 AHE,MOTOR,d,pertama,12:59,15:55,120,56,176
,G 5879 IC,MOTOR,d,pertama,13:01,16:55,180,54,234
,H 5039 TP,MOTOR,d,pertama,13:06,13:41,0,35,35
,K 5404 VN,MOTOR,d,pertama,13:09,14:41,60,32,92
,H 4733 BKG,MOTOR,d,pertama,13:11,15:41,120,30,150
,H 2680 AEE,MOTOR,d,pertama,13:11,16:41,180,30,210
,K 5051 RS,MOTOR,d,pertama,13:12,13:50,0,38,38
,K 2380 MV,MOTOR,d,pertama,13:14,14:44,60,30,90
,G 5988 VN,MOTOR,d,pertama,13:14,14:45,60,31,91
,K 3625 IV,MOTOR,d,pertama,13:15,15:45,120,30,150
,H 3616 BGG,MOTOR,d,pertama,13:15,16:45,180,30,210
,H 2161 ATE,MOTOR,d,pertama,13:27,14:49,60,22,82
,R 5210 VR,MOTOR,d,pertama,13:27,15:49,120,22,142
,H 3818 FG,MOTOR,d,pertama,13:27,14:53,60,26,86
,H 4661 VA,MOTOR,d,pertama,13:29,15:53,120,24,144
,G 5397 GI,MOTOR,d,pertama,13:39,14:56,60,17,77
,G 2441 EG,MOTOR,d,pertama,13:39,15:56,120,17,137
,G 2219 HH,MOTOR,d,pertama,13:42,16:56,180,14,194
,G 6174 JI,MOTOR,d,pertama,13:42,15:00,60,18,78
,R 3816 PL,MOTOR,d,pertama,13:43,16:00,120,17,137
,H 5748 ZH,MOTOR,d,pertama,13:43,15:00,60,17,77
,H 4206 UN,MOTOR,d,pertama,13:43,16:00,120,17,137
,H 5697 FZ,MOTOR,d,pertama,13:44,15:00,60,16,76
,K 5690 WH,MOTOR,d,pertama,13:44,16:00,120,16,136
,G 5616 NW,MOTOR,d,pertama,13:44,17:00,180,16,196
,G 2251 PF,MOTOR,d,pertama,13:44,15:00,60,16,76
,H 2715 KI,MOTOR,d,pertama,13:45,16:00,120,15,135
,H 2440 FP,MOTOR,d,pertama,13:45,17:00,180,15,195
,K 6709 BT,MOTOR,d,pertama,13:45,15:00,60,15,75
,H 6171 EA,MOTOR,d,pertama,13:45,16:00,120,15,135
,K 5924 VM,MOTOR,d,pertama,13:45,13:54,0,9,9
,K 4945 PM,MOTOR,d,pertama,13:46,14:54,60,8,68
,K 2652 DS,MOTOR,d,pertama,13:46,14:23,0,37,37
,G 2469 KP,MOTOR,d,pertama,13:46,14:26,0,40,40
,H 4474 FM,MOTOR,d,pertama,13:46,15:26,60,40,100
,H 6430 AGG,MOTOR,d,pertama,13:47,16:26,120,39,159
,K 5585 YQ,MOTOR,d,pertama,13:47,17:26,180,39,219
,H 4547 AHD,MOTOR,d,pertama,13:48,18:26,240,38,278
,K 4057 UG,MOTOR,d,pertama,13:48,19:26,300,38,338
,K 5352 PM,MOTOR,d,pertama,13:51,20:26,360,35,395
,H 3048 ASC,MOTOR,d,pertama,13:51,21:26,420,35,455
,K 6162 U,MOTOR,d,pertama,13:52,22:26,480,34,514
,AD 6614 AKE,MOTOR,d,pertama,13:53,23:26,540,33,573
,K 5388 WJ,MOTOR,d,pertama,13:54,0:26,600,32,632
,AA 6237 WH,MOTOR,d,pertama,13:55,1:26,660,31,691
,G 5955 RL,MOTOR,d,pertama,13:56,2:26,720,30,750
,K 5791 JJ,MOTOR,d,pertama,13:57,3:26,780,29,809
,B 3981 FPV,MOTOR,d,pertama,13:59,4:26,840,27,867
,K 2913 NQ,MOTOR,d,pertama,14:00,15:00,60,0,60
,AB 2455 YC,MOTOR,d,pertama,14:07,14:42,0,35,35
,G 6264 DI,MOTOR,d,pertama,14:14,14:40,0,26,26
,K 3684 ARC,MOTOR,d,pertama,14:17,14:30,0,13,13
,K 2500 AAC,MOTOR,d,pertama,14:19,15:30,60,11,71
,H 2761 AFD,MOTOR,d,pertama,14:20,14:55,0,35,35
,G 6217 ID,MOTOR,d,pertama,14:23,14:55,0,32,32
,K 2927 AHC,MOTOR,d,pertama,14:30,14:57,0,27,27
,K 3532 EU,MOTOR,d,pertama,14:34,15:57,60,23,83
,K 5882 JH,MOTOR,d,pertama,14:39,16:57,120,18,138
,G 4481 ZK,MOTOR,d,pertama,14:40,17:57,180,17,197
,H 4001 BS,MOTOR,d,pertama,14:43,18:57,240,14,254
,K 4506 AEE,MOTOR,d,pertama,14:48,19:57,300,9,309
,G 6335 CM,MOTOR,d,pertama,14:50,20:57,360,7,367
,K 3133 LK,MOTOR,d,pertama,14:59,21:57,360,58,418
