id,no_kendaraan,jenis_kendaraan,gedung,hari,masuk,keluar,jam,menit,selisih
,H 5336 BJG,MOTOR ,utama,pertama,13:13,15:47,120,34,154
,H 2287 BCG,MOTOR ,utama,pertama,13:13,14:47,60,34,94
,G 4914 PL,MOTOR ,utama,pertama,13:13,14:33,60,20,80
,H 5890 VN,MOTOR ,utama,pertama,13:14,15:33,120,19,139
,AA 2644 KE,MOTOR ,utama,pertama,13:14,16:33,180,19,199
,K 6008 FR,MOTOR ,utama,pertama,13:15,13:23,0,8,8
,H 5376 HA,MOTOR ,utama,pertama,13:15,13:41,0,26,26
,H 3642 AEG,MOTOR ,utama,pertama,13:15,13:41,0,26,26
,G 3813 U,MOTOR ,utama,pertama,13:16,13:41,0,25,25
,K 2371 JM,MOTOR ,utama,pertama,13:18,13:41,0,23,23
,K 2471 BG,MOTOR ,utama,pertama,13:19,13:41,0,22,22
,K 6735 AW,MOTOR ,utama,pertama,13:20,13:41,0,21,21
,H 5886 DH,MOTOR ,utama,pertama,13:20,13:42,0,22,22
,K 6250 QM,MOTOR ,utama,pertama,13:21,13:42,0,21,21
,H 2745 CJ,MOTOR ,utama,pertama,13:21,13:43,0,22,22
,H 2877 SJ,MOTOR ,utama,pertama,13:22,13:43,0,21,21
,H 2678 AND,MOTOR ,utama,pertama,13:24,13:45,0,21,21
,H 4324 AUE,MOTOR ,utama,pertama,13:26,13:45,0,19,19
,G 4513 DN,MOTOR ,utama,pertama,13:27,13:45,0,18,18
,H 5354 RQ,MOTOR ,utama,pertama,13:28,13:46,0,18,18
,G 6022 LJ,MOTOR ,utama,pertama,13:28,13:46,0,18,18
,G 2156 YU,MOTOR ,utama,pertama,13:32,13:46,0,14,14
,H 6212 HN,MOTOR ,utama,pertama,13:33,13:46,0,13,13
,H 5659 ES,MOTOR ,utama,pertama,13:33,13:48,0,15,15
,K 4942 AR,MOTOR ,utama,pertama,13:34,13:48,0,14,14
,K 4811 UJ,MOTOR ,utama,pertama,13:35,13:48,0,13,13
,H 6977 DH,MOTOR ,utama,pertama,13:35,13:48,0,13,13
,H 5098 AKE,MOTOR ,utama,pertama,13:35,13:48,0,13,13
,H 2816 AEE,MOTOR ,utama,pertama,13:35,13:49,0,14,14
,G 4899 QK,MOTOR ,utama,pertama,13:35,13:55,0,20,20
,R 4503 GL,MOTOR ,utama,pertama,13:38,14:55,60,17,77
,K 6812 DC,MOTOR ,utama,pertama,13:38,15:00,60,22,82
,K 4605 JU,MOTOR ,utama,pertama,13:38,15:01,60,23,83
,H 5833 EA,MOTOR ,utama,pertama,13:38,16:01,120,23,143
,H 3542 LH,MOTOR ,utama,pertama,13:38,13:57,0,19,19
,H 2446 FP,MOTOR ,utama,pertama,13:38,13:57,0,19,19
,H 2095 ZJ,MOTOR ,utama,pertama,13:38,13:57,0,19,19
,G 6482 WM,MOTOR ,utama,pertama,13:38,13:58,0,20,20
,G 6231 FR,MOTOR ,utama,pertama,13:38,13:58,0,20,20
,G 5041 QU,MOTOR ,utama,pertama,13:38,14:58,60,20,80
,G 4724 GI,MOTOR ,utama,pertama,13:38,15:00,60,22,82
,AA 2539 HI,MOTOR ,utama,pertama,13:38,16:00,120,22,142
,H 5141 SD,MOTOR ,utama,pertama,13:39,15:00,60,21,81
,K 3099 CJ,MOTOR ,utama,pertama,13:39,14:44,60,5,65
,H 6974 MA,MOTOR ,utama,pertama,13:40,14:03,0,23,23
,H 5928 MU,MOTOR ,utama,pertama,13:40,14:03,0,23,23
,H 3408 QC,MOTOR ,utama,pertama,13:40,14:09,0,29,29
,H 2783 ADC,MOTOR ,utama,pertama,13:40,14:15,0,35,35
,K 5424 ZR,MOTOR ,utama,pertama,13:41,14:30,0,49,49
,K 3771 QQ,MOTOR ,utama,pertama,13:44,14:33,0,49,49
,H 4791 AAW,MOTOR ,utama,pertama,13:44,14:44,60,0,60
,H 4561 BHG,MOTOR ,utama,pertama,13:45,14:00,0,15,15
,H 5292 AOG,MOTOR ,utama,pertama,13:46,14:03,0,17,17
,H 4588 US,MOTOR ,utama,pertama,13:46,14:03,0,17,17
,R 4221 SF,MOTOR ,utama,pertama,13:47,13:58,0,11,11
,K 6005 FR,MOTOR ,utama,pertama,13:48,13:59,0,11,11
,H 2012 BBG,MOTOR ,utama,pertama,13:50,13:59,0,9,9
,H 6859 BUG,MOTOR ,utama,pertama,13:52,14:00,0,8,8
,K 3242 VG,MOTOR ,utama,pertama,13:56,14:03,0,7,7
,H 3970 FH,MOTOR ,utama,pertama,13:56,14:03,0,7,7
,G 3602 UW,MOTOR ,utama,pertama,13:57,14:09,0,12,12
,H 3748 WS,MOTOR ,utama,pertama,13:58,14:15,0,17,17
,G 5673 BW,MOTOR ,utama,pertama,13:58,14:30,0,32,32
,G 3244 IW,MOTOR ,utama,pertama,13:58,14:33,0,35,35
,H 3352 JU,MOTOR ,utama,pertama,14:00,14:44,0,44,44
